Country Name,Region,Image URL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burkina Faso,Africa,https://public.flourish.studio/country-flags/svg/bf.svg,"226,977","234,744","242,709","251,039","259,788","268,990","278,745","289,111","299,959","311,347","323,190","335,447","348,345","361,759","375,811","390,629","418,353","457,588","500,783","548,277","600,751","658,561","722,340","792,524","869,407","953,160","1,017,667","1,064,070","1,112,726","1,163,681","1,217,244","1,273,347","1,332,276","1,393,993","1,458,745","1,526,699","1,598,129","1,693,155","1,810,936","1,936,788","2,071,321","2,214,526","2,367,405","2,530,418","2,704,755","2,890,681","3,089,300","3,277,395","3,457,080","3,645,825","3,844,033","4,051,997","4,269,905","4,497,980","4,736,607","4,985,855","5,245,987","5,516,754"
Burundi,Africa,https://public.flourish.studio/country-flags/svg/bi.svg,"57,867","60,059","62,330","64,692","67,232","70,606","75,508","80,883","86,587","92,459","98,312","104,110","109,901","115,800","122,200","129,420","137,545","146,657","156,746","167,676","178,629","190,170","202,542","215,763","230,073","245,495","262,268","280,311","299,426","319,283","339,601","357,739","375,730","393,782","411,835","429,924","447,767","465,620","484,391","504,576","527,802","554,689","585,303","619,383","656,404","695,933","738,137","783,159","830,917","880,822","932,977","987,099","1,043,248","1,102,293","1,164,857","1,231,868","1,303,728","1,380,411"
Cabo Verde,Africa,https://public.flourish.studio/country-flags/svg/cv.svg,"33,743","34,905","36,320","37,965","39,815","41,826","44,029","46,409","48,808","51,008","52,848","54,325","55,475","56,373","57,266","58,350","59,689","61,245","63,028","65,012","67,416","72,886","78,885","85,347","92,176","99,247","108,494","118,115","128,249","139,115","150,839","157,624","165,084","173,075","181,365","189,769","198,206","206,688","215,222","223,821","232,484","240,898","249,318","257,669","265,848","273,773","281,405","288,764","295,988","303,227","310,579","316,638","322,887","329,316","335,919","342,663","349,549","356,578"
Cambodia,Asia,https://public.flourish.studio/country-flags/svg/kh.svg,"588,546","604,509","622,930","649,108","675,073","700,397","724,324","808,790","900,960","1,002,916","1,117,077","1,335,972","1,592,747","1,881,408","2,188,255","336,786","356,818","373,095","387,981","406,056","662,385","859,855","901,498","955,167","1,014,595","1,074,495","1,133,517","1,193,261","1,255,202","1,321,707","1,394,996","1,475,422","1,561,955","1,653,438","1,748,044","1,844,237","1,941,642","2,040,036","2,128,765","2,194,908","2,258,637","2,319,635","2,377,856","2,433,996","2,489,226","2,544,428","2,599,633","2,655,056","2,716,554","2,808,178","2,903,816","3,003,963","3,108,609","3,217,109","3,328,880","3,443,053","3,559,458","3,678,035"
Cameroon,Africa,https://public.flourish.studio/country-flags/svg/cm.svg,"721,416","765,724","813,120","863,766","917,809","975,298","1,036,625","1,102,048","1,171,813","1,245,992","1,325,110","1,445,641","1,576,284","1,717,421","1,870,202","2,035,263","2,199,443","2,325,390","2,459,014","2,600,711","2,751,065","2,910,165","3,078,469","3,256,259","3,443,890","3,641,324","3,849,128","4,058,273","4,248,463","4,444,468","4,645,904","4,852,634","5,064,953","5,282,049","5,504,091","5,730,749","5,962,015","6,198,081","6,440,913","6,693,011","6,956,192","7,230,870","7,517,754","7,817,313","8,130,183","8,456,228","8,796,382","9,150,970","9,519,679","9,901,657","10,296,588","10,704,286","11,124,963","11,558,305","12,004,211","12,462,625","12,933,510","13,416,447"
Canada,Americas,https://public.flourish.studio/country-flags/svg/ca.svg,"12,368,141","12,729,040","13,121,753","13,522,659","13,934,678","14,343,688","14,763,748","15,136,519","15,487,885","15,804,855","16,132,459","16,470,088","16,708,781","16,967,420","17,247,044","17,548,557","17,756,796","17,976,212","18,167,130","18,358,996","18,607,802","18,852,288","19,121,765","19,355,470","19,583,639","19,807,755","20,046,584","20,316,591","20,585,971","20,961,910","21,282,904","21,585,143","21,927,863","22,245,552","22,536,691","22,800,720","23,129,543","23,491,972","23,812,357","24,125,782","24,455,142","24,806,464","25,054,475","25,330,347","25,610,398","25,889,021","26,125,779","26,440,579","26,788,779","27,157,761","27,522,849","27,850,621","28,195,550","28,535,991","28,861,099","29,117,142","29,483,123","29,862,026"
Cayman Islands,Americas,https://public.flourish.studio/country-flags/svg/ky.svg,"7,865","8,026","8,146","8,227","8,298","8,369","8,441","8,521","8,631","8,827","9,144","9,581","10,136","10,784","11,498","12,244","13,022","13,841","14,661","15,444","16,162","16,789","17,356","17,906","18,543","19,313","20,251","21,339","22,538","23,776","25,010","26,213","27,404","28,646","30,055","31,672","33,536","35,597","37,740","39,808","41,687","43,316","44,738","46,028","47,299","48,622","50,031","51,483","52,926","54,279","55,507","56,579","57,523","58,371","59,172","59,963","60,765","61,559"
Central African Republic,Africa,https://public.flourish.studio/country-flags/svg/cf.svg,"302,205","317,330","333,406","350,454","368,614","387,789","408,133","429,651","453,142","477,537","502,749","528,725","555,615","583,628","613,300","644,974","671,828","694,277","718,321","744,243","772,267","802,652","835,275","869,207","903,111","935,995","967,354","997,564","1,027,735","1,055,533","1,082,574","1,112,577","1,145,046","1,179,215","1,213,907","1,248,269","1,281,974","1,315,263","1,348,120","1,380,786","1,413,339","1,445,507","1,477,155","1,508,414","1,539,535","1,571,454","1,604,777","1,639,299","1,673,234","1,704,173","1,730,654","1,751,742","1,768,685","1,784,697","1,804,305","1,831,033","1,866,243","1,909,291"
Chad,Africa,https://public.flourish.studio/country-flags/svg/td.svg,"200,957","213,062","225,945","239,626","255,727","278,203","302,416","328,505","356,794","387,597","421,486","458,794","499,778","542,457","588,088","636,330","687,166","740,747","797,759","821,900","847,677","875,102","904,328","935,734","969,903","1,007,055","1,047,710","1,091,731","1,138,870","1,188,341","1,239,682","1,292,932","1,348,229","1,403,423","1,451,945","1,503,265","1,557,278","1,613,896","1,673,750","1,737,360","1,805,079","1,877,275","1,953,547","2,032,918","2,113,682","2,194,709","2,275,451","2,356,432","2,438,427","2,523,021","2,613,401","2,710,139","2,813,171","2,921,961","3,035,755","3,154,219","3,277,403","3,405,841"
Chile,Americas,https://public.flourish.studio/country-flags/svg/cl.svg,"5,234,650","5,417,381","5,601,416","5,789,685","5,982,101","6,178,100","6,378,021","6,581,183","6,786,313","6,991,199","7,194,609","7,394,942","7,593,535","7,790,200","7,985,511","8,179,998","8,373,542","8,566,301","8,759,492","8,954,618","9,153,020","9,354,703","9,551,237","9,716,331","9,887,209","10,064,453","10,248,469","10,438,657","10,633,284","10,830,038","11,026,856","11,223,072","11,424,062","11,647,003","11,868,191","12,087,071","12,303,000","12,515,885","12,725,607","12,932,708","13,137,110","13,338,739","13,531,005","13,692,673","13,853,259","14,012,907","14,172,434","14,331,276","14,489,058","14,644,476","14,796,793","14,946,063","15,092,194","15,235,753","15,377,374","15,517,478","15,657,065","15,796,080"
